Location,Tenant,_Area_raw,Area_Sft,_Price_raw,Price_INR,_Rent_raw,Rent_INR,Lease_Years,Advance_Months,UDS_SqYards,Increment_%,Increment_Every_Years,Rent_Fix_Flag,Price_Fix_Flag,Area_Fix_Flag,Price_per_Sft,Rent_per_Sft,Gross_Yield_%
MIYAPUR,,"4800 Sft, Ground Floor.",4800.0,8.90 Crore.,89000000.0,4.40 Lakh or 5% Revenue on Sales.,440000.00000000006,25.0,6.0,150.0,,,ok,ok,ok,18541.666666666668,91.66666666666669,5.9325842696629225
NALLAGANDLA,,"1300 S.Yards 37927 Sft, Ground, 4 floor | Rent: 12.10 Lakh.",37927.0,45 Crore.,450000000.0,23 Lakh. | B).Tenant: BRANDED TENANTS.,2300000.0,9.0,6.0,1300.0,15.0,3.0,ok,ok,ok,11864.89835737074,60.64281382656155,6.133333333333333
NARAYANAGUDA,BRANDED EDUCATIONAL INSTITUTE | Tenant: BRANDED SHOWROOM,"350 S.yards, 14000 Sft. Ground+4 floor. | Price: 8.80 Crore",14000.0,9.10 Crore | Rent: 4.20 Lakh,91000000.0,4.57 Lakh | Lease:  6 Years.,457000.0,5.0,,350.0,7.0,,ok,ok,ok,6500.0,32.642857142857146,6.026373626373626
NARSINGI,,,,1.26  Crore. | Price: 1.83  Crore.,12600000.0,"62,500/-. | Rent: 91,000/-",62000.0,9.0,,150.0,15.0,3.0,x1000,ok,ok,,,5.904761904761905
SAINIKPURI,world's largest hearing aid retailer.,965Sft Ground floor,965.0,1.75 Crore.,17500000.0,90 Thousand.,90000.0,5.0,6.0,28.0,5.0,,ok,ok,ok,18134.715025906735,93.26424870466322,6.171428571428572
SANATHNAGAR,Salon | Tenant:Branded Tetails showroom,"1038 Sft, Ground Floor. | Area: 991 Sft, 1st Floor.",1038.0,2.25 Crore. | Price: 1.90 Crore.,22500000.0,1.16 Lakh | Rent: 1.10 Lakh,115999.99999999999,4.0,5.0,26.0,5.0,,ok,ok,ok,21676.300578034683,111.75337186897879,6.186666666666666
SECUNDERABAD( NALLAGUTTA),,"190 S.Yards, 8000 Sft, Stilt + 5 Floors. | Area: 2508 Sft, Ground +1st Floor.",8000.0,10 Crore. | Price: 8.05 Crore.,100000000.0,6 Lakhs. | Rent: 2.88 Lakh.,600000.0,9.0,,190.0,15.0,3.0,ok,ok,ok,12500.0,75.0,7.199999999999999
SOMAJIGUDA,,11307 Sft. 3rd Floor. | Price: 1.75 Crore.,11307.0,9.90 Crore. | Rent: 98 Thousand.,99000000.0,6.54 Lakh. | Lease: 5+5 Years.,654000.0,7.0,8.0,400.0,4.0,3.0,ok,ok,ok,8755.638100291855,57.840275935261346,7.927272727272728
S.R.NAGAR,"DRY FRUIT SHOP. | Area: 2200 Sft, Ground Floor.","1700 Sft, GroundFloor. | Price: 3.60 Crore.",1700.0,3.35 Crore. | Rent: 1.75 Lakh.,33500000.0,"1.67,500/-. | Lease: 9 Years.",1670.0,9.0,6.0,40.0,5.0,,x1000,ok,ok,19705.882352941175,0.9823529411764705,0.05982089552238806
UPPAL,BRANDED RETAIL SHOWROOM. | Tenant: TOP ONLINE MEDIA COMPANY.,"12750 Sft, Ground+1ST floor. | Area: 300 S.yards/10000 Sft. Celler, Ground+ 3 Floors.",12750.0,1.40 Crore. | Price: 2.19 Crore.,14000000.0,12 lakh. | Rent: 3.50 Lakh.,100000.0,12.0,63.0,150.0,3.0,3.0,÷12_annual,ok,ok,1098.0392156862745,7.8431372549019605,8.571428571428571
